Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,"Days to 
Deliver","Delivery 
Company","Price per 
Unit",Units Sold,Total Sales,Operating Profit,Operating Margin
Walmart,1185732,1/14/2022,Northeast,New York,New York,Coca-Cola,25,USPS,$0.50 ,"12,000","$6,000 ","$3,000 ",50%
Walmart,1185732,1/14/2022,Northeast,New York,New York,Diet Coke,34,FedEx,$0.50 ,"10,000","$5,000 ","$1,500 ",30%
Walmart,1185732,1/14/2022,Northeast,New York,New York,Sprite,48,UPS,$0.40 ,"10,000","$4,000 ","$1,400 ",35%
Walmart,1185732,1/14/2022,Northeast,New York,New York,Fanta,20,USPS,$0.45 ,"8,500","$3,825 ","$1,339 ",35%
Walmart,1185732,1/14/2022,Northeast,New York,New York,Powerade,26,USPS,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
Walmart,1185732,1/14/2022,Northeast,New York,New York,Dasani Water,43,DHL,$0.50 ,"10,000","$5,000 ","$1,250 ",25%
Walmart,1185732,2/12/2022,Northeast,New York,New York,Coca-Cola,19,FedEx,$0.50 ,"12,500","$6,250 ","$3,125 ",50%
Walmart,1185732,2/12/2022,Northeast,New York,New York,Diet Coke,41,FedEx,$0.50 ,"9,000","$4,500 ","$1,350 ",30%
Walmart,1185732,2/12/2022,Northeast,New York,New York,Sprite,34,USPS,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
Walmart,1185732,2/12/2022,Northeast,New York,New York,Fanta,42,UPS,$0.45 ,"8,250","$3,713 ","$1,299 ",35%
Walmart,1185732,2/12/2022,Northeast,New York,New York,Powerade,37,UPS,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
Walmart,1185732,2/12/2022,Northeast,New York,New York,Dasani Water,59,UPS,$0.50 ,"10,000","$5,000 ","$1,250 ",25%
Walmart,1185732,3/10/2022,Northeast,New York,New York,Coca-Cola,27,UPS,$0.50 ,"12,200","$6,100 ","$3,050 ",50%
Walmart,1185732,3/10/2022,Northeast,New York,New York,Diet Coke,44,FedEx,$0.50 ,"9,250","$4,625 ","$1,388 ",30%
Walmart,1185732,3/10/2022,Northeast,New York,New York,Sprite,44,DHL,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
Walmart,1185732,3/10/2022,Northeast,New York,New York,Fanta,36,DHL,$0.45 ,"8,000","$3,600 ","$1,260 ",35%
Walmart,1185732,3/10/2022,Northeast,New York,New York,Powerade,37,DHL,$0.60 ,"8,500","$5,100 ","$1,530 ",30%
Walmart,1185732,3/10/2022,Northeast,New York,New York,Dasani Water,46,USPS,$0.50 ,"9,500","$4,750 ","$1,188 ",25%
Walmart,1185732,4/11/2022,Northeast,New York,New York,Coca-Cola,56,FedEx,$0.50 ,"12,000","$6,000 ","$3,000 ",50%
Walmart,1185732,4/11/2022,Northeast,New York,New York,Diet Coke,24,DHL,$0.50 ,"9,000","$4,500 ","$1,350 ",30%
Walmart,1185732,4/11/2022,Northeast,New York,New York,Sprite,29,FedEx,$0.40 ,"9,000","$3,600 ","$1,260 ",35%
Walmart,1185732,4/11/2022,Northeast,New York,New York,Fanta,38,USPS,$0.45 ,"8,250","$3,713 ","$1,299 ",35%
Walmart,1185732,4/11/2022,Northeast,New York,New York,Powerade,16,FedEx,$0.60 ,"8,250","$4,950 ","$1,485 ",30%
Walmart,1185732,4/11/2022,Northeast,New York,New York,Dasani Water,32,DHL,$0.50 ,"9,500","$4,750 ","$1,188 ",25%
Walmart,1185732,5/10/2022,Northeast,New York,New York,Coca-Cola,18,USPS,$0.60 ,"12,200","$7,320 ","$3,660 ",50%
Walmart,1185732,5/10/2022,Northeast,New York,New York,Diet Coke,39,DHL,$0.55 ,"9,250","$5,088 ","$1,526 ",30%
Walmart,1185732,5/10/2022,Northeast,New York,New York,Sprite,16,UPS,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
Walmart,1185732,5/10/2022,Northeast,New York,New York,Fanta,22,FedEx,$0.50 ,"8,500","$4,250 ","$1,488 ",35%
Walmart,1185732,5/10/2022,Northeast,New York,New York,Powerade,24,DHL,$0.60 ,"8,750","$5,250 ","$1,575 ",30%
Walmart,1185732,5/10/2022,Northeast,New York,New York,Dasani Water,20,FedEx,$0.65 ,"10,000","$6,500 ","$1,625 ",25%
Walmart,1185732,6/12/2022,Northeast,New York,New York,Coca-Cola,18,UPS,$0.60 ,"12,500","$7,500 ","$3,750 ",50%
Walmart,1185732,6/12/2022,Northeast,New York,New York,Diet Coke,36,USPS,$0.55 ,"10,000","$5,500 ","$1,650 ",30%
Walmart,1185732,6/12/2022,Northeast,New York,New York,Sprite,58,UPS,$0.50 ,"9,250","$4,625 ","$1,619 ",35%
Walmart,1185732,6/12/2022,Northeast,New York,New York,Fanta,51,DHL,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
Walmart,1185732,6/12/2022,Northeast,New York,New York,Powerade,37,FedEx,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
Walmart,1185732,6/12/2022,Northeast,New York,New York,Dasani Water,16,DHL,$0.65 ,"10,500","$6,825 ","$1,706 ",25%
Walmart,1185732,7/10/2022,Northeast,New York,New York,Coca-Cola,44,FedEx,$0.60 ,"12,750","$7,650 ","$3,825 ",50%
Walmart,1185732,7/10/2022,Northeast,New York,New York,Diet Coke,32,DHL,$0.55 ,"10,250","$5,638 ","$1,691 ",30%
Walmart,1185732,7/10/2022,Northeast,New York,New York,Sprite,43,DHL,$0.50 ,"9,500","$4,750 ","$1,663 ",35%
Walmart,1185732,7/10/2022,Northeast,New York,New York,Fanta,25,DHL,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
Walmart,1185732,7/10/2022,Northeast,New York,New York,Powerade,55,USPS,$0.60 ,"9,250","$5,550 ","$1,665 ",30%
Walmart,1185732,7/10/2022,Northeast,New York,New York,Dasani Water,19,UPS,$0.65 ,"11,000","$7,150 ","$1,788 ",25%
Walmart,1185732,8/11/2022,Northeast,New York,New York,Coca-Cola,52,FedEx,$0.60 ,"12,500","$7,500 ","$3,750 ",50%
Walmart,1185732,8/11/2022,Northeast,New York,New York,Diet Coke,18,USPS,$0.55 ,"10,250","$5,638 ","$1,691 ",30%
Walmart,1185732,8/11/2022,Northeast,New York,New York,Sprite,33,FedEx,$0.50 ,"9,500","$4,750 ","$1,663 ",35%
Walmart,1185732,8/11/2022,Northeast,New York,New York,Fanta,19,USPS,$0.50 ,"9,250","$4,625 ","$1,619 ",35%
Walmart,1185732,8/11/2022,Northeast,New York,New York,Powerade,60,FedEx,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
Walmart,1185732,8/11/2022,Northeast,New York,New York,Dasani Water,21,USPS,$0.65 ,"10,750","$6,988 ","$1,747 ",25%
Walmart,1185732,9/10/2022,Northeast,New York,New York,Coca-Cola,15,DHL,$0.60 ,"12,000","$7,200 ","$3,600 ",50%
Walmart,1185732,9/10/2022,Northeast,New York,New York,Diet Coke,35,FedEx,$0.55 ,"10,000","$5,500 ","$1,650 ",30%
Walmart,1185732,9/10/2022,Northeast,New York,New York,Sprite,48,DHL,$0.50 ,"9,250","$4,625 ","$1,619 ",35%
Walmart,1185732,9/10/2022,Northeast,New York,New York,Fanta,24,USPS,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
Walmart,1185732,9/10/2022,Northeast,New York,New York,Powerade,55,DHL,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
Walmart,1185732,9/10/2022,Northeast,New York,New York,Dasani Water,17,UPS,$0.65 ,"10,000","$6,500 ","$1,625 ",25%
Walmart,1185732,10/12/2022,Northeast,New York,New York,Coca-Cola,55,FedEx,$0.65 ,"11,750","$7,638 ","$3,819 ",50%
Walmart,1185732,10/12/2022,Northeast,New York,New York,Diet Coke,54,FedEx,$0.55 ,"10,000","$5,500 ","$1,650 ",30%
Walmart,1185732,10/12/2022,Northeast,New York,New York,Sprite,30,FedEx,$0.55 ,"9,000","$4,950 ","$1,733 ",35%
Walmart,1185732,10/12/2022,Northeast,New York,New York,Fanta,55,UPS,$0.55 ,"8,750","$4,813 ","$1,684 ",35%
Walmart,1185732,10/12/2022,Northeast,New York,New York,Powerade,25,USPS,$0.65 ,"8,750","$5,688 ","$1,706 ",30%
Walmart,1185732,10/12/2022,Northeast,New York,New York,Dasani Water,48,USPS,$0.70 ,"10,000","$7,000 ","$1,750 ",25%
Walmart,1185732,11/11/2022,Northeast,New York,New York,Coca-Cola,25,USPS,$0.65 ,"11,500","$7,475 ","$3,738 ",50%
Walmart,1185732,11/11/2022,Northeast,New York,New York,Diet Coke,44,DHL,$0.55 ,"9,750","$5,363 ","$1,609 ",30%
Walmart,1185732,11/11/2022,Northeast,New York,New York,Sprite,35,USPS,$0.55 ,"9,200","$5,060 ","$1,771 ",35%
Walmart,1185732,11/11/2022,Northeast,New York,New York,Fanta,27,FedEx,$0.55 ,"9,000","$4,950 ","$1,733 ",35%
Walmart,1185732,11/11/2022,Northeast,New York,New York,Powerade,17,FedEx,$0.65 ,"8,750","$5,688 ","$1,706 ",30%
Walmart,1185732,11/11/2022,Northeast,New York,New York,Dasani Water,19,DHL,$0.70 ,"9,750","$6,825 ","$1,706 ",25%
Walmart,1185732,12/10/2022,Northeast,New York,New York,Coca-Cola,55,DHL,$0.65 ,"12,000","$7,800 ","$3,900 ",50%
Walmart,1185732,12/10/2022,Northeast,New York,New York,Diet Coke,23,FedEx,$0.55 ,"10,000","$5,500 ","$1,650 ",30%
Walmart,1185732,12/10/2022,Northeast,New York,New York,Sprite,42,FedEx,$0.55 ,"9,500","$5,225 ","$1,829 ",35%
Walmart,1185732,12/10/2022,Northeast,New York,New York,Fanta,47,UPS,$0.55 ,"9,000","$4,950 ","$1,733 ",35%
Walmart,1185732,12/10/2022,Northeast,New York,New York,Powerade,26,USPS,$0.65 ,"9,000","$5,850 ","$1,755 ",30%
Walmart,1185732,12/10/2022,Northeast,New York,New York,Dasani Water,45,UPS,$0.70 ,"10,000","$7,000 ","$1,750 ",25%
Costco,1197831,1/2/2022,South,Texas,Houston,Coca-Cola,30,UPS,$0.25 ,"9,000","$2,250 ",$788 ,35%
Costco,1197831,1/2/2022,South,Texas,Houston,Diet Coke,28,USPS,$0.35 ,"9,000","$3,150 ","$1,103 ",35%
Costco,1197831,1/2/2022,South,Texas,Houston,Sprite,16,FedEx,$0.35 ,"7,000","$2,450 ",$858 ,35%
Costco,1197831,1/2/2022,South,Texas,Houston,Fanta,38,USPS,$0.35 ,"7,000","$2,450 ","$1,103 ",45%
Costco,1197831,1/2/2022,South,Texas,Houston,Powerade,42,FedEx,$0.40 ,"5,500","$2,200 ",$660 ,30%
Costco,1197831,1/2/2022,South,Texas,Houston,Dasani Water,19,DHL,$0.35 ,"7,000","$2,450 ","$1,225 ",50%
Costco,1197831,2/1/2022,South,Texas,Houston,Coca-Cola,21,UPS,$0.25 ,"8,500","$2,125 ",$744 ,35%
Costco,1197831,2/1/2022,South,Texas,Houston,Diet Coke,32,UPS,$0.35 ,"8,500","$2,975 ","$1,041 ",35%
Costco,1197831,2/1/2022,South,Texas,Houston,Sprite,31,USPS,$0.35 ,"6,750","$2,363 ",$827 ,35%
Costco,1197831,2/1/2022,South,Texas,Houston,Fanta,43,USPS,$0.35 ,"6,250","$2,188 ",$984 ,45%
Costco,1197831,2/1/2022,South,Texas,Houston,Powerade,45,DHL,$0.40 ,"5,000","$2,000 ",$600 ,30%
Costco,1197831,2/1/2022,South,Texas,Houston,Dasani Water,19,DHL,$0.35 ,"7,000","$2,450 ","$1,225 ",50%
Costco,1197831,3/3/2022,South,Texas,Houston,Coca-Cola,29,DHL,$0.30 ,"8,750","$2,625 ",$919 ,35%
Costco,1197831,3/3/2022,South,Texas,Houston,Diet Coke,50,FedEx,$0.40 ,"8,750","$3,500 ","$1,225 ",35%
Costco,1197831,3/3/2022,South,Texas,Houston,Sprite,32,USPS,$0.35 ,"7,000","$2,450 ",$858 ,35%
Costco,1197831,3/3/2022,South,Texas,Houston,Fanta,32,USPS,$0.40 ,"6,000","$2,400 ","$1,080 ",45%
Costco,1197831,3/3/2022,South,Texas,Houston,Powerade,50,DHL,$0.45 ,"5,000","$2,250 ",$675 ,30%
Costco,1197831,3/3/2022,South,Texas,Houston,Dasani Water,19,UPS,$0.40 ,"6,500","$2,600 ","$1,300 ",50%
Costco,1197831,4/2/2022,South,Texas,Houston,Coca-Cola,58,FedEx,$0.30 ,"9,000","$2,700 ",$945 ,35%
Costco,1197831,4/2/2022,South,Texas,Houston,Diet Coke,27,FedEx,$0.40 ,"9,000","$3,600 ","$1,260 ",35%
Costco,1197831,4/2/2022,South,Texas,Houston,Sprite,21,DHL,$0.35 ,"7,250","$2,538 ",$888 ,35%
Costco,1197831,4/2/2022,South,Texas,Houston,Fanta,51,FedEx,$0.40 ,"6,250","$2,500 ","$1,125 ",45%
Costco,1197831,4/2/2022,South,Texas,Houston,Powerade,23,UPS,$0.45 ,"5,250","$2,363 ",$709 ,30%
Costco,1197831,4/2/2022,South,Texas,Houston,Dasani Water,35,USPS,$0.40 ,"8,000","$3,200 ","$1,600 ",50%
Costco,1197831,5/2/2022,South,Texas,Houston,Coca-Cola,22,USPS,$0.30 ,"9,250","$2,775 ",$971 ,35%
Costco,1197831,5/2/2022,South,Texas,Houston,Diet Coke,42,UPS,$0.40 ,"9,250","$3,700 ","$1,295 ",35%
Costco,1197831,5/2/2022,South,Texas,Houston,Sprite,24,DHL,$0.35 ,"7,750","$2,713 ",$949 ,35%
Costco,1197831,5/2/2022,South,Texas,Houston,Fanta,47,USPS,$0.40 ,"7,000","$2,800 ","$1,260 ",45%
Costco,1197831,5/2/2022,South,Texas,Houston,Powerade,32,DHL,$0.45 ,"6,000","$2,700 ",$810 ,30%
Costco,1197831,5/2/2022,South,Texas,Houston,Dasani Water,53,UPS,$0.40 ,"9,500","$3,800 ","$1,900 ",50%
Costco,1197831,6/1/2022,South,Texas,Houston,Coca-Cola,59,FedEx,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
Costco,1197831,6/1/2022,South,Texas,Houston,Diet Coke,23,DHL,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
Costco,1197831,6/1/2022,South,Texas,Houston,Sprite,29,UPS,$0.40 ,"8,000","$3,200 ","$1,120 ",35%
Costco,1197831,6/1/2022,South,Texas,Houston,Fanta,35,USPS,$0.40 ,"7,500","$3,000 ","$1,350 ",45%
Costco,1197831,6/1/2022,South,Texas,Houston,Powerade,19,UPS,$0.45 ,"6,500","$2,925 ",$878 ,30%
